iter	Passed	Remaining
0	148	148805
1	150	75167
2	152	50591
3	153	38336
4	155	31003
5	157	26067
6	162	22995
7	165	20479
8	166	18380
9	168	16695
10	170	15354
11	172	14217
12	177	13484
13	179	12656
14	182	11963
15	183	11312
16	185	10736
17	187	10222
18	190	9810
19	191	9404
20	193	9032
21	195	8706
22	197	8397
23	199	8113
24	201	7853
25	203	7625
26	206	7430
27	208	7246
28	210	7046
29	212	6856
30	213	6682
31	215	6519
32	217	6363
33	220	6253
34	221	6119
35	224	6008
36	226	5886
37	227	5766
38	229	5649
39	230	5538
40	232	5438
41	235	5362
42	236	5272
43	238	5183
44	240	5099
45	242	5026
46	244	4949
47	245	4875
48	249	4835
49	251	4780
50	253	4724
51	255	4662
52	257	4599
53	259	4539
54	261	4485
55	264	4465
56	266	4411
57	268	4364
58	270	4321
59	272	4271
60	274	4226
61	276	4186
62	280	4178
63	282	4134
64	284	4088
65	286	4047
66	288	4024
67	290	3987
68	293	3960
69	296	3942
70	298	3906
71	300	3870
72	301	3834
73	303	3800
74	305	3769
75	307	3744
76	311	3729
77	313	3703
78	315	3672
79	316	3642
80	318	3611
81	319	3581
82	320	3543
83	322	3514
84	324	3494
85	326	3468
86	327	3441
87	329	3414
88	331	3388
89	332	3365
90	334	3342
91	338	3338
92	340	3322
93	342	3303
94	345	3288
95	346	3267
96	348	3246
97	350	3224
98	353	3215
99	355	3199
100	357	3182
101	359	3163
102	361	3144
103	362	3126
104	364	3109
105	367	3102
106	370	3088
107	372	3072
108	373	3052
109	375	3034
110	376	3016
111	378	2998
112	379	2980
113	382	2975
114	385	2963
115	387	2953
116	389	2937
117	390	2922
118	392	2906
119	394	2891
120	397	2889
121	399	2876
122	401	2863
123	403	2850
124	405	2836
125	406	2822
126	408	2807
127	410	2796
128	414	2795
129	415	2782
130	417	2770
131	419	2757
132	421	2745
133	422	2732
134	424	2721
135	428	2723
136	431	2719
137	433	2706
138	434	2694
139	436	2681
140	438	2671
141	439	2658
142	443	2654
143	445	2646
144	447	2635
145	448	2625
146	450	2614
147	452	2605
148	454	2594
149	455	2583
150	458	2579
151	460	2570
152	463	2563
153	464	2553
154	466	2544
155	468	2534
156	470	2525
157	473	2522
158	475	2514
159	477	2505
160	478	2494
161	480	2487
162	482	2478
163	485	2473
164	490	2481
165	492	2473
166	495	2470
167	497	2462
168	499	2454
169	501	2447
170	503	2442
171	506	2438
172	508	2430
173	513	2435
174	517	2440
175	520	2438
176	523	2432
177	525	2427
178	527	2421
179	530	2416
180	534	2419
181	536	2411
